pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,st_mass
"Kepler-1916 b",2.61757235,7.35000000,31.25429916000,635.00,6246.00,1.092000,1.180000
"TIC 320419023 b",2.77280763,8.11000000,5.26375651589,,5703.36,0.952319,1.056000
"HD 108236 f",2.01700000,4.72000000,29.54115000000,609.59,5660.00,0.877000,0.869000
"Kepler-1617 b",1.20000000,1.87000000,27.47855720000,736.00,6167.00,1.220000,1.150000
"HD 206893 c",16.36511182,3527.89531770,2290.00000000000,1181.90,6500.00,1.311160,1.310000
"TOI-4527.01",0.90866170,0.68900000,0.39944450000,1362.93,3702.00,0.485948,0.483901
"K2-255 b",2.90000000,8.75000000,1.96417000000,1034.00,4676.00,0.690000,0.710000
"Kepler-1678 b",3.30422249,10.90000000,147.97400000000,329.00,5754.00,0.834976,1.030000
"HD 224018 b",0.91000000,4.10000000,10.64130000000,968.00,5784.00,1.147000,1.013000
"Kepler-1334 b",2.29000000,5.86000000,15.64591713000,710.00,5614.00,0.910000,0.940000
"Kepler-480 b",2.78000000,8.15000000,4.91958379500,1312.00,6322.00,1.340000,1.250000
"Kepler-1382 b",1.88000000,4.19000000,16.35830550000,959.00,6161.00,1.720000,1.360000
"TOI-2068 b",1.82100000,3.97000000,7.76891500000,520.62,3710.00,0.535000,0.559000
"Kepler-1030 b",2.48000000,6.71000000,19.32952416000,529.00,4983.00,0.760000,0.800000
"HD 153950 b",13.20000000,937.59850000,499.39999000000,295.30,6124.00,1.280000,1.250000
"HAT-P-52 b",11.30988100,259.98494000,2.75359530000,1218.00,5131.00,0.893000,0.887000
"TOI-4747 b",3.95803201,14.80000000,5.21924158592,1035.00,5595.08,0.988751,1.010000
"Kepler-891 b",6.41000000,33.60000000,53.44945593000,486.00,5887.00,1.070000,1.060000
"Kepler-1159 b",2.37000000,6.21000000,22.70816791000,677.00,6217.00,1.280000,1.190000
"HATS-18 b",14.89676100,629.14448500,0.83784000000,2069.48,5600.00,1.020000,1.037000
"GJ 676 A e",2.47000000,6.67439655,35.47358000000,351.55,3734.00,0.690000,0.626000
"Kepler-48 c",2.71000000,14.61000000,9.67395000000,736.00,5194.00,0.890000,0.880000
"Kepler-889 b",1.09000000,1.32000000,3.74443900000,1328.00,5961.00,1.250000,1.140000
"HR 2562 b",12.44199000,6992.22495400,,1255.00,6597.00,1.334000,1.300000
"Kepler-1804 b",1.59615726,3.18000000,12.28849983000,913.00,5109.00,1.671000,0.929000
"Kepler-1188 b",2.08000000,4.98000000,17.13695430000,775.00,5913.00,1.060000,1.040000
"HD 21411 b",9.52000000,65.90000000,84.28800000000,408.17,5605.00,0.825605,0.890000
"Kepler-1281 b",1.64000000,3.33000000,3.11602791000,1123.00,5353.00,0.830000,0.870000
"Kepler-128 b",1.42100000,3.79000000,15.00000000000,968.00,6072.00,1.659000,1.184000
"Kepler-1693 b",1.28938413,2.21000000,12.09990000000,807.00,5432.34,0.878295,0.950000
"Kepler-104 b",3.10000000,19.60000000,11.42754800000,852.00,5711.00,1.349000,0.818000
"Kepler-1849 b",2.38685349,6.29000000,57.29290009000,355.00,4806.00,0.729000,0.709000
"Kepler-1036 b",3.01000000,9.32000000,122.88080580000,326.00,5533.00,0.890000,0.950000
"Kepler-37 b",0.30980000,0.79000000,13.36702000000,718.00,5357.00,0.789000,0.790000
"2MASS J22362452+4751425 b",12.30000000,3972.87500000,,10.30,4045.00,0.641152,0.600000
"Kepler-1191 b",1.51000000,2.89000000,5.60014851000,952.00,5308.00,0.810000,0.850000
"Kepler-511 c",4.20964327,16.50000000,26.62949944000,742.00,5866.00,1.417000,0.958000
